Institution Name,Main Office,Branch Name,Established Date (MMDDYYY),Acquired Date(MMDDYYY),Street Address,County,State,Zipcode,Latitude,Longitude,2010 Deposits,2011 Deposits,2012 Deposits,2013 Deposits,2014 Deposits,2015 Deposits,2016 Deposits
Citi Bank,0,victory and sepulveda branch,11/22/2011,,15249 VICTORY BOULEVARD,Los Angeles,CA,91411,34.18666,-118.46596,,,6148,12241,18425,24445,29126
Citi Bank,0,ventura blvd and colbath branch,01/01/1889,09/25/2008,13949 VENUTRA BOULEVARD,Los Angeles,CA,91423,34.14822,-118.43258,240655,245626,281947,302007,327876,359946,367994
Citi Bank,0,sherman oaks riverside drive branch,1 de diciembre de 2004,09/25/2008,14111 RIVERSIDE DRIVE,Los Angeles,CA,91423,34.15768,-118.44056,60213,63540,77060,89063,99303,114837,135781
Citi Bank,0,havenhurst branch,01/17/1995,09/25/2008,16437 VENTURA BOULEVARD,Los Angeles,CA,91436,34.15744,-118.49093,116787,129229,148418,150903,167800,217463,246948
Citi Bank,0,ventura blvd & gloria avenue banking center branch,11/15/2012,,15903 VENTURA BOULEVARD,Los Angeles,CA,91436,34.1558,-118.47954,,,,6479,14461,33228,35377
Citi Bank,0,first street burbank branch,07/25/1992,09/25/2008,100 NORTH FIRST STREET,Los Angeles,CA,91502,34.1799,-118.31026,75988,83365,96326,100871,106293,115890,133162
Citi Bank,0,north san fernando blvd branch,01/01/1889,09/25/2008,840 NORTH SAN FERNANDO BOULEVARD,Los Angeles,CA,91502,34.1861,-118.31588,200660,199670,214476,224135,242209,258132,284907
Citi Bank,0,west magnolia blvd branch,10/30/1934,09/25/2008,3521 WEST MAGNOLIA BOULEVARD,Los Angeles,CA,91505,34.16832,-118.34565,110550,117845,138698,148781,163358,173929,194478
Citi Bank,0,west alameda ave branch,09/18/2006,09/25/2008,"1030 WEST ALAMEDA AVENUE, SUITE D-13",Los Angeles,CA,91506,34.16307,-118.31346,44674,51127,59924,66482,77193,82926,90328
Citi Bank,0,olive & verdugo banking center,09/13/2012,,1551 WEST OLIVE AVENUE,Los Angeles,CA,91506,34.1686,-118.32183,,,,6578,13770,17920,27328
Citi Bank,0,north hollywood arts district branch,7 de enero de 2009,,10930 MAGNOLIA BLVD,Los Angeles,CA,91601,34.16482,-118.36915,5034,15096,23190,24046,28808,32134,41908
Citi Bank,0,universal branch,7 de agosto de 1957,09/25/2008,4455 LANKERSHIM BLVD,Los Angeles,CA,91602,34.1521,-118.36689,127781,131207,144495,168281,180747,207537,225660
Citi Bank,0,riverside & ponca banking center branch,12 de abril de 2012,,10050 RIVERSIDE DRIVE,Los Angeles,CA,91602,34.15219,-118.34977,,,,7704,23984,40595,61286
Citi Bank,0,studio city branch,01/01/1889,09/25/2008,12051 VENTURA BOULEVARD,Los Angeles,CA,91604,34.1436,-118.39486,274260,276647,305733,337786,362112,410535,470207
Citi Bank,0,north hollywood branch,1 de enero de 1919,09/25/2008,6400 LAUREL CANYON BLVD,Los Angeles,CA,91606,34.18698,-118.39647,98022,97567,104980,118222,117646,129578,145122
Citi Bank,0,rancho cucamonga branch,1 de enero de 1919,09/25/2008,8730 19TH ST.,San Bernardino,CA,91701,34.13262,-117.61511,114051,112892,130376,129804,134927,151187,170762
Citi Bank,0,baseline & haven banking center branch,01/29/2013,,10598 BASELINE ROAD,San Bernardino,CA,91701,34.12154,-117.57313,,,,8022,18460,28342,43507
Citi Bank,0,azusa branch,12/27/1988,09/25/2008,1188 E ALOSTA AVE,Los Angeles,CA,91702,34.12867,-117.88178,96450,98000,99373,104648,166468,167777,189358
Citi Bank,0,foothill & san gabriel banking center,11 de diciembre de 2013,,150 W. FOOTHILL BLVD,Los Angeles,CA,91702,34.13346,-117.90841,,,,,3194,6946,9484
Citi Bank,0,baldwin park branch,1 de enero de 1926,09/25/2008,14483 EAST RAMONA BOULEVARD,Los Angeles,CA,91706,34.08707,-117.95835,78018,84192,87724,92625,97648,106690,121340
Citi Bank,0,chino hills branch,01/16/1996,09/25/2008,4200 CHINO HILLS PARKWAY,San Bernardino,CA,91709,33.98271,-117.71291,83390,94093,109139,122077,135565,146203,171325
Citi Bank,0,peyton drive branch,1 de febrero de 2003,09/25/2008,13011 PEYTON DRIVE,San Bernardino,CA,91709,34.01611,-117.74569,62810,64375,76303,92604,101280,107875,137003
Citi Bank,0,chino hills banking center branch,3 de agosto de 2010,,14250 CHINO HILLS PKWY,San Bernardino,CA,91709,33.9962,-117.75902,1466,5523,12185,14805,17776,19894,23827
Citi Bank,0,chino - towne center branch,02/21/2006,09/25/2008,12193 CENTRAL AVE,San Bernardino,CA,91710,34.03222,-117.68936,44598,51708,58641,66423,73676,82418,89593
Citi Bank,0,euclid ave branch,7 de enero de 2009,,"7033 SCHAEFER AVE, 1A",San Bernardino,CA,91710,34.00474,-117.65199,7372,11980,19231,23459,27313,32323,39286
Citi Bank,0,grand & roswell banking center branch,10/20/2012,,3800 GRAND AVENUE,San Bernardino,CA,91710,34.0004,-117.72174,,,,14996,34797,47926,68157
Citi Bank,0,claremont branch,1 de enero de 1926,09/25/2008,400 NORTH INDIAN HILL BOULEVARD,Los Angeles,CA,91711,34.09771,-117.71931,109711,117283,128676,137079,142996,158115,174119
Citi Bank,0,indian hill & auto center drive banking center,09/28/2012,,855 SOUTH INDIAN HILL BLVD,Los Angeles,CA,91711,34.08032,-117.71942,,,,4229,7560,10320,16946
Citi Bank,0,foothill & mountain banking center,09/27/2012,,805 WEST FOOTHILL BLVD,Los Angeles,CA,91711,34.10716,-117.72923,,,,10343,18764,28671,38338
Citi Bank,0,milliken ave and foothill branch,12/18/2006,09/25/2008,8108 MILLIKEN AVENUE,San Bernardino,CA,91730,34.10621,-117.55717,44932,52543,63854,76036,88120,105244,125937
Citi Bank,0,el monte branch,5 de mayo de 1965,09/25/2008,11001 EAST VALLEY MALL,Los Angeles,CA,91731,34.07383,-118.0352,86525,89577,101609,107681,118731,129958,144264
Citi Bank,0,lower azusa & santa anita banking center,11 de agosto de 2011,,4749 SANTA ANITA AVENUE,Los Angeles,CA,91731,34.09171,-118.0266,,,11070,25308,37872,47302,54228
Citi Bank,0,garvey and valley branch,12 de junio de 2011,,12039 VALLEY BOULEVARD,Los Angeles,CA,91732,34.06236,-118.01839,,,5800,13176,19932,27802,32405
Citi Bank,0,archibald & 19th banking center,06/26/2012,,9700 19TH STREET,San Bernardino,CA,91737,34.13277,-117.59361,,,283,14132,27226,38016,43527
Citi Bank,0,east glendora branch,7 de agosto de 1957,09/25/2008,1905 EAST ROUTE 66,Los Angeles,CA,91740,34.12853,-117.82853,107239,114269,124189,125484,134712,149675,174358
