branch_key,branch_name,branch_address,branch_city,branch_state,branch_zip
974,hopewell junction branch,817 ROUTE 82,Dutchess,NY,12533.0
975,hyde park branch,4277 ALBANY POST ROAD,Dutchess,NY,12538.0
976,route 17k branch,201 AUTO PARK PLACE,Orange,NY,12550.0
977,newburgh branch,5020 ROUTE 9W,Orange,NY,12550.0
978,new windsor branch,353 WINDSOR HIGHWAY,Orange,NY,12553.0
979,new paltz branch,2 PLATTEKILL AVENUE,Ulster,NY,12561.0
980,patterson trailer branch,3112 NY ROUTE 22,Putnam,NY,12563.0
981,pine bush branch,75 MAIN STREET,Orange,NY,12566.0
982,pleasant valley branch,"1600 MAIN STREET, SUITE 14",Dutchess,NY,12569.0
983,wappinger branch,1460 RTE 9,Dutchess,NY,12590.0
984,mill and garden branch,278 MAIN STREET,Dutchess,NY,12601.0
985,poughkeepsie plaza mall branch,2586 SOUTH ROAD,Dutchess,NY,12601.0
986,mill and garden branch,MILL AND GARDEN STREETS,Dutchess,NY,12601.0
987,red oaks mill branch,48 VASSAR ROAD,Dutchess,NY,12603.0
988,apple valley center branch,704 FREEDOM PLAINS ROAD,Dutchess,NY,12603.0
989,monticello branch,411 BROADWAY,Sullivan,NY,12701.0
990,port jervis branch,14 SUSSEX STREET,Orange,NY,12771.0
991,wurtsboro branch,140 SULLIVAN STREET,Sullivan,NY,12790.0
992,cicero banking center branch,7888 BREWERTON ROAD,Onondaga,NY,13039.0
993,seventh north branch,424 7TH NORTH STREET,Onondaga,NY,13088.0
994,liverpool branch,4169 ELMCREST ROAD,Onondaga,NY,13090.0
995,manlius branch,329 FAYETTE STREET,Onondaga,NY,13104.0
996,minoa branch,249 NORTH MAIN STREET,Onondaga,NY,13116.0
997,oswego branch,204 WEST FIRST STREET,Oswego,NY,13126.0
998,lincoln center branch,110 WEST FAYETTE STREET,Onondaga,NY,13202.0
999,james street branch,801 JAMES STREET,Onondaga,NY,13203.0
1000,industrial park branch,6004 COURT STREET,Onondaga,NY,13206.0
1001,university branch,649 SOUTH CROUSE AVENUE,Onondaga,NY,13210.0
1002,dewitt branch,4425 EAST GENESEE STREET,Onondaga,NY,13214.0
1003,fairmount branch,3508 WEST GENESEE STREET,Onondaga,NY,13219.0
1004,oneida branch,150 WEST MAIN STREET,Madison,NY,13421.0
1005,utica-middle market reg hq branch,258 GENESSE STREET,Oneida,NY,13502.0
1006,buffalo-mm branch,350 MAIN STREET,Erie,NY,14202.0
1007,brockport branch,66 MAIN STREET,Monroe,NY,14420.0
1008,canandaigua branch,130 SOUTH MAIN STREET,Ontario,NY,14424.0
1009,east rochester fairport road branch,865 FAIRPORT ROAD,Monroe,NY,14445.0
1010,penfield branch,2159 FAIRPORT 9 MILE POINT ROAD,Monroe,NY,14450.0
1011,perinton plaza branch,609 MOSELEY ROAD,Monroe,NY,14450.0
1012,macedon branch,1890 WEST WAYNE PLAZA,Wayne,NY,14502.0
1013,pittsford village branch,31 STATE STREET,Monroe,NY,14534.0
1014,scottsville branch,1 ROCHESTER STREET,Monroe,NY,14546.0
1015,eastway branch,1950 EMPIRE BOULEVARD,Monroe,NY,14580.0
1016,webster branch,920 HOLT ROAD,Monroe,NY,14580.0
1017,williamson branch,4124 PEARSALL STREET,Wayne,NY,14589.0
1018,tower branch,1 S CLINTON AVE,Monroe,NY,14604.0
1019,gates banking center branch,6 SPENCERPORT ROAD,Monroe,NY,14606.0
1020,monroe avenue branch,560 MONROE AVENUE,Monroe,NY,14607.0
1021,browncroft branch,245 MERCHANTS ROAD,Monroe,NY,14609.0
1022,west end branch,36 GENESEE STREET,Monroe,NY,14611.0
1023,charlotte branch,3917 LAKE AVENUE,Monroe,NY,14612.0
1024,greece long pond branch,690 LONG POND ROAD,Monroe,NY,14612.0
1025,irondequoit west branch,674 TITUS AVENUE,Monroe,NY,14617.0
1026,brighton monroe branch,1755 MONROE STREET,Monroe,NY,14618.0
1027,irondequoit east branch,1982 RIDGE ROAD EAST,Monroe,NY,14622.0
1028,henrietta branch,1575 EAST HENRIETTA ROAD,Monroe,NY,14623.0
1029,westgate rochester branch,2130 CHILI AVENUE,Monroe,NY,14624.0
1030,rochester small bus lending branch,2300 BUFFALO ROAD,Monroe,NY,14624.0
1031,greece ridge branch,358 GREECE RIDGE CENTER DRIVE,Monroe,NY,14626.0
1032,u of r river campus branch,500 JOSEPH C WILSON BOULEVARD,Monroe,NY,14627.0
1033,rochester medical center branch,260 CRITTENDEN BOULEVARD,Monroe,NY,14642.0
1034,philadelphia branch,"1650 MARKET STREET, 47TH & 52ND FLOOR",Philadelphia,PA,19103.0
1035,"washington, d.c. branch",800 CONNECTICUT AVENUE,District of Columbia,DC,20006.0
1036,elkview branch,558 RAILROAD AVE,Kanawha,WV,25071.0
1037,st. albans branch,613 MACCORKLE AVENUE,Kanawha,WV,25177.0
1038,charleston main branch,707 VIRGINIA ST. EAST,Kanawha,WV,25301.0
1039,downtown mini branch,613 VIRGINIA ST. EAST,Kanawha,WV,25301.0
1040,south charleston branch,505 D STREET,Kanawha,WV,25303.0
1041,kanawha city branch,200 KANAWHA MALL,Kanawha,WV,25304.0
1042,state capitol branch,1625 WASHINGTON STREET,Kanawha,WV,25311.0
1043,south hills branch,1001 BRIDGE ROAD,Kanawha,WV,25314.0
1044,barboursville branch,"6327 ROUTE 60, EAST",Cabell,WV,25504.0
1045,chapmanville branch,510 AIRPORT RD,Logan,WV,25508.0
1046,milton branch,500 MAIN ST. EAST,Cabell,WV,25541.0
1047,teays valley banking center branch,210 GREAT TEAYS BLVD,Putnam,WV,25560.0
1048,wayne main branch,608 HENDRICKS STREET,Wayne,WV,25570.0
1049,logan main branch,755 EAST STRATTON STREET,Logan,WV,25601.0
1050,huntington main branch,1000 FIFTH AVENUE,Cabell,WV,25701.0
1051,lavalette branch,4545 FIFTH STREET ROAD,Wayne,WV,25701.0
1052,beckley main branch,"500 NEVILLE STREET, SUITE 600",Raleigh,WV,25801.0
1053,by-pass plaza branch,4140 ROBERT C BYRD DRIVE,Raleigh,WV,25802.0
1054,beaver branch,103 AIRPORT RD.,Raleigh,WV,25813.0
1055,oak hill branch,215 MAIN STREET,Fayette,WV,25901.0
1056,wheeling main branch,1114 MARKET STREET,Ohio,WV,26003.0
1057,bae mar branch,2 BAE MAR PLACE,Ohio,WV,26003.0
1058,buckhannon main branch,32 EAST MAIN STREET,Upshur,WV,26201.0
1059,clarksburg main branch,229 W. MAIN,Harrison,WV,26301.0
1060,clarksburg drive up branch,2ND & MAIN STREET,Harrison,WV,26301.0
1061,bridgeport johnson avenue branch,1507 JOHNSON AVENUE,Harrison,WV,26330.0
1062,deerfield square branch,5170 WINDWARD PKWY,Fulton,GA,30004.0
1063,atlanta highway & commerce boulevard branch,5585 ATLANTA HIGHWAY,Forsyth,GA,30004.0
1064,crabapple and rucker rd branch,250 RUCKER RD,Fulton,GA,30004.0
1065,old milton pkwy & kimball bridge rd banking center,4170 MILTON PKWY,Fulton,GA,30005.0
1066,old milton parkway and haynes bridge road branch,11798 HAYNES BRIDGE ROAD,Fulton,GA,30009.0
1067,rockdale square branch,1910 HWY 20 SE. SUITE 70,Rockdale,GA,30013.0
1068,dacula & fence banking center branch,535 DACULA ROAD,Gwinnett,GA,30019.0
1069,haynes bridge and old alabama branch,3080 OLD ALABAMA RD,Fulton,GA,30022.0
1070,mcginnis ferry & 141 banking center branch,3695 PEACHTREE PARKWAY,Forsyth,GA,30024.0
1071,north decatur corners branch,2861 N DECATUR RD,DeKalb,GA,30033.0
1072,north decatur and clairmont branch,2091 N DECATUR RD,DeKalb,GA,30033.0
1073,chapel hill commons branch,"3642 FLAKES MILL RD, STE 309",DeKalb,GA,30034.0
1074,south dekalb branch,"2782 CANDLER RD, STE 25",DeKalb,GA,30034.0
1075,hairston crossing branch,"2079 S HAIRSTON ROAD, SUITE F",DeKalb,GA,30035.0
1076,sharon greens branch,"1595 PEACHTREE PKWY, STE 210",Forsyth,GA,30041.0
1077,trammel and hwy 20 branch,1710 BUFORD HWY,Forsyth,GA,30041.0
1078,ridge and hwy 20 branch,1495 BUFORD DR,Gwinnett,GA,30043.0
1079,lawrenceville - sugarloaf branch,3340 SUGARLOAF PKWY STE A,Gwinnett,GA,30044.0
1080,hurricane shoals branch,690 COLLINS HILL RD,Gwinnett,GA,30045.0
1081,lilburn - beaver ruin village branch,"4155 LAWRENCEVILLE HIGHWAY, NW",Gwinnett,GA,30047.0
1082,snellville - killian hill branch,4081 STONE MOUNTAIN HWY,Gwinnett,GA,30047.0
1083,marietta - piedmont commons branch,1060 E PIEDMONT RD,Cobb,GA,30062.0
1084,powder springs and macland branch,1740 POWDER SPRINGS RD SW,Cobb,GA,30064.0
1085,dallas highway and barrett branch,2615 DALLAS HIGHWAY SOUTHWEST,Cobb,GA,30064.0
1086,barrett creek branch,"125 BARRETT PKWY NW, STE 201",Cobb,GA,30066.0
1087,sandy plains & shallowford banking center,3615 SANDY PLAINS ROAD,Cobb,GA,30066.0
1088,delk & powers ferry road banking center brance,2989 DELK ROAD SE,Cobb,GA,30067.0
1089,johnson ferry and woodlawn dr branch,1088 JOHNSON FERRY RD,Cobb,GA,30068.0
1090,roswell corner branch,1175 WOODSTOCK RD,Fulton,GA,30075.0
1091,shallowford and johnson ferry branch,"4401 SHALLOWFORD RD, STE 190",Cobb,GA,30075.0
1092,roswell - mansell - branch,"976 MANSELL ROAD, SUITE 500",Fulton,GA,30076.0
1093,holcomb bridge and old alabama branch,1475-B HOLCOMB BRIDGE RD,Fulton,GA,30076.0
1094,snellville scenic and pharrs branch,1875 SCENIC HWY N,Gwinnett,GA,30078.0
1095,highland station branch,"4490 S COBB DR, STE C",Cobb,GA,30080.0
1096,hairston village branch,"933 N HAIRSTON RD, STE 1",DeKalb,GA,30083.0
1097,peachtree square branch,"3200 HOLCOMB BRIDGE RD., SUITE 60",Gwinnett,GA,30092.0
1098,peachtree corners and 141 branch,5252 PEACHTREE PKWY,Gwinnett,GA,30092.0
1099,indian trail branch,"1250 TECH DRIVE, SUITE 400",Gwinnett,GA,30093.0
1100,duluth reynolds crossing branch,3780 OLD NORCROSS RD,Gwinnett,GA,30096.0
1101,old peachtree & buford hwy banking center,2697 OLD PEACHTREE RD,Gwinnett,GA,30097.0
1102,state bridge and 141 branch,5940 STATE BRIDGE ROAD,Fulton,GA,30097.0
1103,acworth commons branch,3350 COBB PKWY NW,Cobb,GA,30101.0
1104,riverstone plaza branch,"1453 RIVERSTONE PKWY, SUITE 100",Cherokee,GA,30114.0
1105,hickory flat & hickory banking center branch,6782 HICKORY FLAT HIGHWAY,Cherokee,GA,30115.0
1106,lithia springs village @ westfork br,610 THORNTON ROAD,Douglas,GA,30122.0
1107,sailors road branch,3721 NEW MACLAND RD SUITE 600,Cobb,GA,30127.0
1108,dallas highway and lost mountain branch,5096 DALLAS HWY,Cobb,GA,30127.0
1109,cosby station branch,3296 HWY 5,Douglas,GA,30135.0
1110,hiram pavilion branch,"5218 JIMMY LEE SMITH PKWY, STE 11",Paulding,GA,30141.0
1111,wade green & wooten lake banking center,4490 WADE GREEN ROAD NW,Cobb,GA,30144.0
1112,cobb pkwy & jiles banking ctr branch,2772 COBB PKWY NW,Cobb,GA,30152.0
1113,holly springs branch,"6230 OLD HWY 5, STE 1",Cherokee,GA,30188.0
1114,towne lake parkway & eagle drive banking center branch,3098 EAGLE DRIVE,Cherokee,GA,30189.0
1115,summit point branch,820 GLYNN ST S,Fayette,GA,30214.0
1116,mcdonough place branch,323 JONESBORO RD,Henry,GA,30253.0
1117,morrow southlake branch,2015 MOUNT ZION RD,Clayton,GA,30260.0
1118,bullsboro and newnan crossing banking center branch,1175 BULLSBORO DRIVE,Coweta,GA,30265.0
1119,mcintosh village branch,2719 W HWY 54,Fayette,GA,30269.0
1120,merchants square branch,7145 HIGHWAY 85,Clayton,GA,30274.0
1121,stockbridge village branch,3604 SE HWY 138,Clayton,GA,30281.0
1122,shannon crossing branch,4550 JONESBORO RD STE TUV,Fulton,GA,30291.0
1123,atlanta brach branch,"3475 PIEDMONT ROAD, SUITE 1800",Fulton,GA,30305.0
1124,atlanta - buckhead branch,"3330 PIEDMONT ROAD, SUITE 28",Fulton,GA,30305.0
1125,peachtree rd & peachtree avenue banking center,"2900 PEACHTREE RD, NW",Fulton,GA,30305.0
1126,edgewood branch,"1215 CAROLINE ST NE, BLDG H",DeKalb,GA,30307.0
1127,midtown piedmont ave branch,"595 PEIDMONT AVENUE NE, SUITE 300-310",Fulton,GA,30308.0
1128,west end atlanta branch,876 RALPH DAVID ABERNATHY BLVD SW,Fulton,GA,30310.0
1129,headland dr and greenbrier branch,"3030 HEADLAND DR SW, STE A",Fulton,GA,30311.0
1130,moreland branch,2491 VILLAGE CREEK LANDING,DeKalb,GA,30316.0
1131,howell mill& collier banking center,"2002 HOWELL MILL ROAD, NW",Fulton,GA,30318.0
1132,cheshire bridge branch,2350 CHESHIRE BRIDGE RD,Fulton,GA,30324.0
1133,piedmont and sidney marcus,2608 PIEDMONT ROAD NE,Fulton,GA,30324.0
1134,roswell road and mt. vernon hwy,6180 ROSWELL ROAD,Fulton,GA,30328.0
1135,atlanta - skye mill road branch,3300 CLAIRMONT ROAD NE STE C,DeKalb,GA,30329.0
1136,north druid hills and lavista branch,2875 N DRUID HILLS RD NE,DeKalb,GA,30329.0
1137,dunwoody road & dunwoody village pwy banking center,5540 CHAMBLEE DUNWOODY ROAD,DeKalb,GA,30338.0
1138,us 41 & akers mill branch,2905 COBB PARKWAY SE BUILDING 300,Cobb,GA,30339.0
1139,chamblee branch,"1841 CHAMBLEE TUCKER ROAD, SUITE 1-2",DeKalb,GA,30341.0
1140,north buckhead branch,4241 ROSWELL RD,Fulton,GA,30342.0
1141,briarcliff village branch,"2102 HENDERSON MILL RD NE, STE 100",DeKalb,GA,30345.0
1142,sugar hill branch,5900 SUWANEE DAM RD,Gwinnett,GA,30518.0
1143,buford and 985 branch,3789 BUFORD DRIVE,Gwinnett,GA,30519.0
1144,friendship & spout springs banking center branch,7354 SPOUT SPRINGS RD,Hall,GA,30542.0
1145,fleming island cr 220 branch,1516 CR 220,Clay,FL,32003.0
1146,blanding and kinglsey branch,2293 KINGSLEY AVE,Clay,FL,32073.0
1147,marlin and a1a,190 A1A NORTH,St. Johns,FL,32082.0
1148,villages at sawgrass branch,260 FRONT STREET,St. Johns,FL,32082.0
1149,dunlawton square branch,3825 S NOVA RD,Volusia,FL,32127.0
1150,us441 and buenos aires blvd branch,13621 N US HWY 441,Sumter,FL,32159.0
1151,preston avenue & cr 466 banking center branch,2355 PARR DRIVE,Sumter,FL,32162.0
1152,cr 466a and pinellas place branch,2435 BURNSED BOULEVARD,Sumter,FL,32163.0
1153,new smyrna beach branch,725 E 3RD AVE,Volusia,FL,32169.0
1154,the trails branch,75 SHADOW LAKES BOULEVARD,Volusia,FL,32174.0
1155,riverside & margaret banking center,"1661 RIVERSIDE AVENUE, UNIT 129",Duval,FL,32204.0
1156,san juan and roosevelt branch,"4495 ROOSEVELT BOULEVARD, SUITE 407",Duval,FL,32210.0
1157,southside & touchton banking center,"4372 SOUTHSIDE BLVD., SUITE 201",Duval,FL,32216.0
1158,university san jose banking center,6012 SAN JOSE BLVD,Duval,FL,32217.0
1159,san marco branch,11364 US HIGHWAY 1,Duval,FL,32219.0
1160,san jose and mandarin,11389 SAN JOSE BOULEVARD,Duval,FL,32223.0
1161,beach and hodges branch,13520 BEACH BLVD,Duval,FL,32224.0
1162,atlantic and hodges branch,13245 atlantic boulevard,Duval,FL,32225.0
1163,town center and midtown branch,4668 town crossing drive,Duval,FL,32246.0
1164,bay meadows branch,7301 bay meadows way,Duval,FL,32256.0
1165,bartram park and old st. augustine branch,"13920 old st. augustine road, unit 107",Duval,FL,32258.0
1166,racetrack and sr 13 branch,370 village oaks dr,St. Johns,FL,32259.0
1167,seminole shopped at atlantic branch,650 atlantic boulevard,Duval,FL,32266.0
1168,altamonte springs branch,500 e. altamonte drive,Seminole,FL,32701.0
1169,apopka branch,1 east main street,Orange,FL,32703.0
1170,wekiva branch,2111 e semoran blvd.,Orange,FL,32703.0
1171,casselberry branch,1395 semoran boulevard,Seminole,FL,32707.0
1172,5601 red bug lake rd branch,5601 red bug lake road,Seminole,FL,32708.0
1173,wekiva springs branch,"971 north sr 434, suite 1155",Seminole,FL,32714.0
1174,north deland branch,305 e international speedway blvd,Volusia,FL,32724.0
1175,lake mary banking center branch,4345 west lake mary boulevard,Seminole,FL,32746.0
1176,heathrow branch,837 village oak lane,Seminole,FL,32746.0
1177,longwood plaza branch,929 west highway 434,Seminole,FL,32750.0
1178,maitland branch,431 e. horatio avenue #100,Orange,FL,32751.0
1179,us 441 and donnelly street branch,18925 us highway 441,Lake,FL,32757.0
1180,crown centre plaza branch,2596 enterprise road,Volusia,FL,32763.0
1181,oviedo branch,3 alafaya woods boulevard,Seminole,FL,32765.0
1182,aloma ave and sr 417 branch,5403 deep lake road,Seminole,FL,32765.0
1183,sanford branch,4190 state rd 46,Seminole,FL,32771.0
1184,south sanford branch,3764 south orlando drive,Seminole,FL,32773.0
1185,titusville branch,2700 south washington avenue,Brevard,FL,32780.0
1186,wiinter park downtown branch,301 s. new york avenue,Orange,FL,32789.0
1187,1870 aloma branch,"1870 aloma avenue, suite 100",Orange,FL,32789.0
1188,us 17 92 and western avenue branch,608 north orlando avenue,Orange,FL,32789.0
1189,winter park palms,7315 university blvd,Orange,FL,32792.0
1190,east church avenue & orange avenue banking center branch,"25 east church street, suite 130",Orange,FL,32801.0
1191,colonial plaza branch,2301 east colonial drive,Orange,FL,32803.0
1192,edgewater drive branch,2424 edgewater drive,Orange,FL,32804.0
1193,dixie village 2710 s orange ave bran,2710 south orange avenue,Orange,FL,32806.0
1194,pine hills branch,801 deauville drive,Orange,FL,32808.0
1195,florida mall branch,1812 west sand lake road,Orange,FL,32809.0
1196,north orange blossom branch,5465 n orange blossom trail,Orange,FL,32810.0
1197,orlando - metrowest branch,3120 s kirkman rd,Orange,FL,32811.0
1198,dover shores branch,4444 curry ford road,Orange,FL,32812.0
1199,conway and hoffner branch,5189 south conway road,Orange,FL,32812.0
1200,union park branch,9505 east colonial drive,Orange,FL,32817.0
1201,dr phillips blvd branch,7674 dr phillips boulevard,Orange,FL,32819.0
1202,south semoran branch,4530 semoran boulevard,Orange,FL,32822.0
1203,golden rod branch,7336 curry ford road,Orange,FL,32822.0
1204,waterford lakes branch,"881 n alafaya trail, waterford",Orange,FL,32828.0
1205,orlando - avalon park branch,425 s. avalon park blvd,Orange,FL,32828.0
1206,vista lakes branch,8255 lee vista blvd,Orange,FL,32829.0
1207,narcoossee & laureate branch,13824 narcoossee road,Orange,FL,32832.0
1208,hunters creek banking center branch,4167 town center blvd,Orange,FL,32837.0
1209,southchase branch,12528 south orange blossom trail,Orange,FL,32837.0
1210,orlando - americana branch,5113 s john young pkwy,Orange,FL,32839.0
1211,riverside and us192 branch,503 5th ave,Brevard,FL,32903.0
1212,melbourne square branch,"1990 west new haven avenue, #101",Brevard,FL,32904.0
1213,west melbourne - palm branch,115 palm bay rd ne,Brevard,FL,32904.0
1214,bayside lakes branch,"3450 bayside lakes blvd, suite 11",Brevard,FL,32909.0
1215,cocoa branch,505 brevard avenue,Brevard,FL,32922.0
1216,cocoa commons branch,"2301 state rd. 524, suite 180",Brevard,FL,32926.0
1217,post commons branch,4050 n wickham rd,Brevard,FL,32935.0
1218,indian harbour beach branch,1922 highway a1a,Brevard,FL,32937.0
1219,suntree branch,7797 north wickham rd,Brevard,FL,32940.0
1220,merritt island branch,760 east merritt island causeway,Brevard,FL,32952.0
1221,rockledge branch,615 barnes blvd,Brevard,FL,32955.0
1222,viera branch,5390 stadium parkway,Brevard,FL,32955.0
1223,vero beach 12 street branch,1205 us highway 1 south,Indian River,FL,32960.0
1224,miracle mile branch,2025 indian river blvd,Indian River,FL,32960.0
1225,beachland and a1a branch,"660 beachland blvd, ste 102",Indian River,FL,32963.0
1226,indian river square,5990 20th street,Indian River,FL,32966.0
1227,dania branch,300 east dania beach boulevard,Broward,FL,33004.0
1228,east hialeah branch,380 e. 4th ave,Miami-Dade,FL,33010.0
1229,hialeah branch,1456 west 49th street,Miami-Dade,FL,33012.0
1230,red road branch,401 west 49th street,Miami-Dade,FL,33012.0
1231,miami lakes branch,14045 n.w. 67th avenue,Miami-Dade,FL,33014.0
1232,miami lakes main street banking center branch,15700 nw 67th avenue,Miami-Dade,FL,33014.0
1233,country club hialeah branch,18575 n.w. 67th street,Miami-Dade,FL,33015.0
1234,west country club branch,"18600 northwest 87th avenue, suite 2",Miami-Dade,FL,33015.0
1235,royal oaks miami lakes branch,15424 northwest 77th court #b,Miami-Dade,FL,33016.0
1236,hialeah branch,3349 west 80th street,Miami-Dade,FL,33018.0
1237,homestead branch,1701 east young circle,Broward,FL,33020.0
1238,hollywood - young circle branch,1701 e young circle,Broward,FL,33020.0
1239,emerald hills branch,5545 sheridan street,Broward,FL,33021.0
1240,presidential circle branch,4223 hollywood blvd,Broward,FL,33021.0
1241,miramar branch,6860 miramar parkway,Broward,FL,33023.0
1242,cooper city commons branch,9499 sheridan st,Broward,FL,33024.0
1243,hollywood palms branch,6975 taft st,Broward,FL,33024.0
1244,university and johnson branch,710 n university dr,Broward,FL,33024.0
1245,miramar commons branch,11100 pembroke rd,Broward,FL,33025.0
1246,miramar & palm banking center branch,9999 miramar pkwy,Broward,FL,33025.0
1247,pines and palm branch,10175 pines blvd,Broward,FL,33026.0
1248,pembroke pines branch,390 south flamingo road,Broward,FL,33027.0
1249,west miramar branch,3221 sw 160th ave,Broward,FL,33027.0
1250,cobblestone plaza banking center branch,14916 pines boulevard,Broward,FL,33027.0
1251,silver lakes branch,150 nw 180th ave,Broward,FL,33029.0
1252,homestead biscayne branch,13701 sw 288th st,Miami-Dade,FL,33033.0
1253,florida city banking center branch,33390 south dixie highway,Miami-Dade,FL,33034.0
1254,miami gardens dr and 57th ave branch,18255 nw 57th ave,Miami-Dade,FL,33055.0
1255,stadium corners branch,19870 nw 27th avenue,Miami-Dade,FL,33056.0
1256,mcnab and federal highway branch,943 southeast 15th street,Broward,FL,33060.0
1257,pompano beach branch,2401 e. atlantic boulevard,Broward,FL,33062.0
1258,pompano citi centre branch,2285 north federal highway,Broward,FL,33062.0
1259,coconut creek branch,4809 coconut creek parkway,Broward,FL,33063.0
1260,sample road & hwy 441 bnk ctr branch,6260 west sample rd,Broward,FL,33067.0
1261,wiles and riverside banking center branch,8264 wiles road,Broward,FL,33067.0
1262,north lauderdale - cypress branch,1319 state rd 7,Broward,FL,33068.0
1263,palm aire branch,101 s pompano pkwy,Broward,FL,33069.0
1264,coral square branch,8975 west atlantic blvd,Broward,FL,33071.0
1265,parkland branch,6500 n. state road 7,Broward,FL,33073.0
1266,north coral springs branch,10585 wiles road,Broward,FL,33076.0
1267,1400 nw 17th avenue branch,1400 n.w. 17th avenue,Miami-Dade,FL,33125.0
1268,seventh ave and 58st branch,5800 n.w. 7th avenue,Miami-Dade,FL,33127.0
1269,miami - brickell bay branch,80 sw 8th st ste 100,Miami-Dade,FL,33130.0
1270,miami branch,"2 south biscayne boulevard, 22nd floor",Miami-Dade,FL,33131.0
1271,se 2nd street branch,150 s.e. 2nd street,Miami-Dade,FL,33131.0
1272,brickell ave and se 15th st branch,1450 brickell ave`,Miami-Dade,FL,33131.0
1273,west brickell branch,1230 sw 2nd avenue,Miami-Dade,FL,33131.0
1274,biscayne and 18th,285 ne 18th street,Miami-Dade,FL,33132.0
1275,coconut grove branch,3015 grand avenue,Miami-Dade,FL,33133.0
1276,coral gables branch,"355 alhambra circle, suite 100",Miami-Dade,FL,33134.0
1277,north gables banking center branch,1300 ponce de leon,Miami-Dade,FL,33134.0
1278,flagler and 37th branch,3700 west flagler street,Miami-Dade,FL,33134.0
1279,tamiami branch,1901 s.w. 8th street,Miami-Dade,FL,33135.0
1280,southwest 8th and 27th avenue banking center branch,801 southwest 27th avenue,Miami-Dade,FL,33135.0
1281,midtown center branch,"3451 ne 1st avenue, unit 106",Miami-Dade,FL,33137.0
1282,miami shores branch,9640 n.e. 2nd avenue,Miami-Dade,FL,33138.0
1283,biscayne boulevard and ne 69th street banking center branch,6800 biscayne boulevard,Miami-Dade,FL,33138.0
1284,alton road branch,1801 alton road,Miami-Dade,FL,33139.0
1285,arthur godfrey branch,474 arthur godfrey rd,Miami-Dade,FL,33140.0
1286,normandy isle branch,1025 71st street,Miami-Dade,FL,33141.0
1287,collins avenue & 69th street banking center,6916 collins avenue,Miami-Dade,FL,33141.0
1288,west timiami branch,8534 s.w. 8th street,Miami-Dade,FL,33144.0
1289,coral way and 27th branch,2740 coral way,Miami-Dade,FL,33145.0
1290,coral way & 37th banking center branch,2209 sw 37th avenue,Miami-Dade,FL,33145.0
1291,s dixie and 57th ave branch,1570 south dixie hwy,Miami-Dade,FL,33146.0
1292,village of merrick park branch,4101 ponce de leon blvd,Miami-Dade,FL,33146.0
1293,key biscayne branch,320 crandon blvd,Miami-Dade,FL,33149.0
1294,surfside branch,9556 harding avenue,Miami-Dade,FL,33154.0
1295,pinecrest branch,10301 south dixie highway,Miami-Dade,FL,33156.0
1296,south dixie highway & 128th street banking center branch,12795 south dixie highway,Miami-Dade,FL,33156.0
1297,south dixie & sw 184th banking center branch,18415 south dixie highway,Miami-Dade,FL,33157.0
1298,sunny isles beach branch,17760 collins avenue,Miami-Dade,FL,33160.0
1299,biscayne branch,18235 biscayne blvd,Miami-Dade,FL,33160.0
1300,north miami 125 st branch,900 n.e. 125th street,Miami-Dade,FL,33161.0
1301,biscayne & 108th banking ctr branch,10760 biscayne blvd,Miami-Dade,FL,33161.0
1302,mall at 163rd branch,1201 northeast 163rd street,Miami-Dade,FL,33162.0
1303,westchester miami branch,8700 s.w. coral way,Miami-Dade,FL,33165.0
1304,west bird road branch,11399 bird rd,Miami-Dade,FL,33165.0
1305,miller and sw 93rd court,9352 sw 56th street,Miami-Dade,FL,33165.0
1306,miami springs branch,4451 n.w. 36th street,Miami-Dade,FL,33166.0
1307,north miami 7th ave branch,12600 n.w. 7th avenue,Miami-Dade,FL,33168.0
1308,miami 199th st branch,175 n.w. 199th street,Miami-Dade,FL,33169.0
1309,international mall branch,10495 n.w. 12th street,Miami-Dade,FL,33172.0
1310,east doral branch,2495 northwest 87th avenue,Miami-Dade,FL,33172.0
1311,sunset drive miami branch,8784 sunset drive,Miami-Dade,FL,33173.0
1312,miami - flagler branch,9501 w flagler st,Miami-Dade,FL,33174.0
1313,flagler & 107th avenue banking center branch,10690 west flagler street,Miami-Dade,FL,33174.0
1314,las americas branch,12001 s.w. 26th street,Miami-Dade,FL,33175.0
1315,palmetto bay branch,15101 s. dixie highway,Miami-Dade,FL,33176.0
1316,west kendall branch,13745 s.w. 152nd street,Miami-Dade,FL,33177.0
1317,deerwood branch,12125 sw 152nd,Miami-Dade,FL,33177.0
1318,doral isles branch,10795 nw 58th st,Miami-Dade,FL,33178.0
1319,doral plaza branch,9785 northwest 41st street,Miami-Dade,FL,33178.0
1320,skylake branch,1790 n.e. miami gardens drive,Miami-Dade,FL,33179.0
1321,california club branch,940 ives dairy road,Miami-Dade,FL,33179.0
1322,biscayne boulevard branch,19495 biscayne boulevard,Miami-Dade,FL,33180.0
1323,biscayne & 209th banking center branch,20880 biscayne blvd,Miami-Dade,FL,33180.0
1324,biscayne blvd & 146h street banking center,14590 biscayne boulevard,Miami-Dade,FL,33181.0
1325,kendall palms branch,11895 sheri lane,Miami-Dade,FL,33183.0
1326,miami-tamiami marketplace branch,14290 sw 8th st,Miami-Dade,FL,33184.0
1327,bird road branch,4200 sw 152nd avenue,Miami-Dade,FL,33185.0
