branch_key,branch_name,branch_address,branch_city,branch_state,branch_zip
3253,stafford branch,11806 WILCREST DRIVE,Harris,TX,77031.0
3254,almeda genoa branch,11650 FUQUA STREET,Harris,TX,77034.0
3255,almeda genoa motor bank branch,11650 FUQUA,Harris,TX,77034.0
3256,edgebrook branch,1155 EDGEBROOK DRIVE,Harris,TX,77034.0
3257,fondren south branch,6671 WEST BELLFORT,Harris,TX,77035.0
3258,westbury branch,11310 CHIMNEY ROCK,Harris,TX,77035.0
3259,meyerpark branch,10301 SOUTH POST OAK ROAD,Harris,TX,77035.0
3260,westwood branch,9525 BISSONNET STREET,Harris,TX,77036.0
3261,bellaire at beltway branch,9709 BELLAIRE BOULEVARD,Harris,TX,77036.0
3262,south gessner and 59s branch,8120 S. GESSNER,Harris,TX,77036.0
3263,north freeway branch,9130 NORTH FREEWAY,Harris,TX,77037.0
3264,ih 45 & west road bnkg ctr branch,10319 NORTH FREEWAY,Harris,TX,77037.0
3265,west little york branch,6510 WEST LITTLE YORK ROAD,Harris,TX,77040.0
3266,lakeside branch,10411 WESTHEIMER ROAD,Harris,TX,77042.0
3267,westchase branch,9801 WESTHEIMER ROAD,Harris,TX,77042.0
3268,westheimer and beltway 8 branch,10420 WESTHEIMER RD,Harris,TX,77042.0
3269,south kempwood dr branch,10243 S KEMPWOOD DR,Harris,TX,77043.0
3270,summerwood branch,12702 W LAKE HOUSTON PKWY,Harris,TX,77044.0
3271,south post oak branch,12401 SOUTH POST OAK ROAD,Harris,TX,77045.0
3272,greenway branch,3403 RICHMOND AVENUE,Harris,TX,77046.0
3273,beltway and wallisville branch,15252 WALLISVILLE RD,Harris,TX,77049.0
3274,sunny side branch,"9406 CULLEN BOULEVARD, SUITE M9B",Harris,TX,77051.0
3275,del oro branch,7505 FANNIN STREET,Harris,TX,77054.0
3276,south loop west branch,3003 SOUTH LOOP WEST,Harris,TX,77054.0
3277,long point branch,7803 LONG POINT ROAD,Harris,TX,77055.0
3278,spring branch banking branch,1337 GESSNER STREET,Harris,TX,77055.0
3279,wirt road branch,2305 WIRT ROAD,Harris,TX,77055.0
3280,i 10 and bunker hill bnkg ctr branch,9704 KATY FREEWAY,Harris,TX,77055.0
3281,silber and shavelson branch,1102 SILBER RD,Harris,TX,77055.0
3282,richmond/sage branch,5177 RICHMOND AVENUE,Harris,TX,77056.0
3283,galleria private internatl branch,2700 POST OAK BOULEVARD,Harris,TX,77056.0
3284,san felipe branch,5599 SAN FELIPE STREET,Harris,TX,77056.0
3285,international private bkg ctr branch,"5075 WESTHEIMER, SUITE 1290",Harris,TX,77056.0
