product_id,product_name,product_description
4187,ARTICULOS PARA DECORACION,Dulcero con tapa de vidrio marca SIN MARCA modelo MJ0509
4188,ARTICULOS DEL HOGAR,Especiero de vidrio marca SIN MARCA modelo MJ0517
4189,ARTICULOS PARA DECORACION,Dulcero de tapa de vidrio marca SIN MARCA modelo MJ0513
4190,ARTICULOS DEL HOGAR,Especiero de vidrio marca SIN MARCA modelo MJ0502
4191,ARTICULOS DEL HOGAR,Especiero de  vidrio marca SIN MARCA modelo MJ0519
4192,ARTICULOS DEL HOGAR,Charola de plastico marca SIN MARCA modelo MJ0479
4193,ARTICULOS DEL HOGAR,Charola de plastico marca SIN MARCA modelo MJ0478
4194,ARTICULOS DEL HOGAR,Plato de plastico marca SIN AMRCA modelo MJ0467
4195,ARTICULOS DEL HOGAR,Plato de plastico marca SIN MARCA modelo MJ0646
4196,ARTICULOS DEL HOGAR,Plato de plastico marca SIN MARCA modelo MJ0614
4197,ARTICULOS DE PIEL,Cinturon unisex dama y caballero marca ZJDM variso modelos
4198,ARTICULOS DE PIEL,Cinturon unisex dama y caballero marca ZJMD modelo V2
4199,PANTALON,Pantalon caballero marca H & M
4200,PRENDAS DE VESTIR,Falda para dama cruzada con cierre marca H & M
4201,PRENDAS DE VESTIR,Camisa para dama tipo mezclilla marca LOGG modelo FITTED
4202,PRENDAS DE VESTIR,CorpiÑo para dama marca H & M
4203,PANTALON,Pantalon niÑa marca H & M
4204,PRENDAS DE VESTIR,Blusa manga larga dama marca H & M
4205,PRENDAS DE VESTIR,Gabardina caballero marca H & M
4206,ARTICULOS DE FERRETERIA,Engrapadora tipo pistola marca TRUPER modelo ET-19 en blister
4207,ARTICULOS DE FERRETERIA,Remachadora profesional marca SIN MARCA en bolsa de plastico
4208,ARTICULOS DE FERRETERIA,Pinza de presion amrca TRUPER modelo recto en blister de carton
4209,PRODUCTOS ALIMENTICIOS,empaquecon queso tipo manchego PARMA SABORI cont 300g
4210,PRODUCTOS ALIMENTICIOS,empaque con queso tipo manchego PARMA SABORI cont net 300g
4211,PRODUCTOS ALIMENTICIOS,empaquecon queso tipo manchego CAPERUCITA cont net 400g
4212,PRODUCTOS ALIMENTICIOS,empaque ocn queso tipo manchego CAPERUCITA cont net 400g
4213,PRODUCTOS ALIMENTICIOS,empaque con queso tipo manchego CAPERUCITA deslactosado Light contnet 400g
4214,PRODUCTOS ALIMENTICIOS,emapque con queso tipo manchego CAPERUCITA deslactosado Light cont net 400g
4215,PRODUCTOS ALIMENTICIOS,emapquecon queso tipo manchego Light CAPERUCITA reducido en graca cont 400g
4216,PRODUCTOS ALIMENTICIOS,empaquecon queso tipo manchengo LIGHT CAPERUCITA reducido en grda cont 400g
4217,PRODUCTOS ALIMENTICIOS,emapque con queso tipo manchego ESMERALDA light reducido en grsa 400g
4218,PRODUCTOS ALIMENTICIOS,empaque con queso tipo manchego AGUASCALIENTES 400g
4219,PRODUCTOS ALIMENTICIOS,emapque con queso tipo manchego AGUASCALIENTES 400g
4220,PRODUCTOS ALIMENTICIOS,emapque con queso tipo chihuahua AGUASCALIENTES cont 500g
4221,PRODUCTOS ALIMENTICIOS,empaque con queto tipochihuahua AGUASCALIENTES 500g
4222,PRODUCTOS ALIMENTICIOS,empaque con queso tipo manchegoALPURA 400g
4223,PRODUCTOS ALIMENTICIOS,empaeu con queso tipo manchego ALPURA 500g
4224,PRODUCTOS ALIMENTICIOS,empaquecon queso tipo manchego NESTLE 400g
4225,PRODUCTOS ALIMENTICIOS,emapquecon queso tipo manchego NESTLE 400g
4226,PRODUCTOS ALIMENTICIOS,empaquecon queso tipo manchego FUD 400g
4227,ARTICULOS DE PLASTICO,Figura de plastico marca SIN MARCA en caja conteniendo 1 pza
4228,ARTICULOS DE PLASTICO,Pelotas de plastico marca SIN MARCA en bolsa conteniendo 12 pzas
4229,ARTICULOS DE BELLEZA,Espejo marca SIN MARCA en caja conteniendo 1 pza
4230,PRENDAS DE VESTIR,Saco chamarra para dama marca ZOY modelo 2298047
4231,PRENDAS DE VESTIR,Saco para dama marca ZOY modelo 2292896
4232,PRENDAS DE VESTIR,Vestido para dama marca ZOY modelo 2200405
4233,PRENDAS DE VESTIR,Saco para dama marca ZOY modelo 1083A
4234,APARATOS ELECTRICOS,cajacon carrito de plastico mrca AUDI R8 SPYDER mod KL-7008-6V
4235,APARATOS ELECTRICOS,caja con carrito de plastico mrca AUDI R8 SPYDER mod KL-7008-6V
4236,ARTICULOS DE BELLEZA,UÑas postizas de acrilico marca U M en bolsa conteniendo 24 estuches con 10 pzas cada una
4237,ARTICULOS DE BELLEZA,Calcomanias marca SIN MARCA en bolsa conteniendo 50 pzas
4238,ARTICULOS DE BELLEZA,CortauÑas marca C X en caja conteniendo 12 pzas
4239,ARTICULOS ESCOLARES,Marcadores marca SIN MARCA en caja conteniendo 12 pzas
4240,ARTICULOS ESCOLARES,Sacapuntas marca SIN MARCA en caja conteniendo 12 pzas
4241,JOYERIA DE FANTASIA,Anillos marca SIN MARCA en caja conteniendo 24 pzas
4242,ARTICULOS ESCOLARES,Boligrafos marca SIN MARCA en caja conteniendo 12 pzas
4243,ARTICULOS PARA EL CABELLO,Accesorios para el cabello de plastico marca SIN AMRCA en bolsa conteniendo 12 pzas
4244,ARTICULOS DE FERRETERIA,Silicon para uso general marca SISTA en recipiente de plastico tipo tubo cont. net. 300 ml
4245,JUGUETES,Guante de box super king marca SIN MARCA modelo ITWA12707A en empaque de carton conteniendo un juego
4246,JUGUETES,Juego de doctor princes marca SIN MARCA modelo TWA718928 en empaque de carton y blister conteniendo un juego
4247,JUGUETES,Juego de policia police marca SIN AMRCA modelo ITWA604574 en empaque de carton y blister
4248,JUGUETES,Tortuga didactica marca SIN MARCA modelo ITWA427899 en bolsa de plastico conteniendo un juego
4249,JUGUETES,Juegod e doctor marca SIN AMRCA modelo HWA256580 en empaque de carton tipo blister
4250,PRODUCTOS ALIMENTICIOS,empaque alto vacio con queso manchego mrca LYNCOTT reducido en grasa cnt 400g
4251,PRODUCTOS ALIMENTICIOS,empaque al alto vacio con queso manchego amrca LYNCOTT cont 400g
4252,PINTURAS  (MATERIALES PARA CONST),empaque alaltovacio con queso itpo manchego marc NOCHE BUENA cont 400g
4253,PRODUCTOS ALIMENTICIOS,empaque al alto vacio con queso tipo manchego marca NOCHE BUENA cont 400g
4254,PRODUCTOS ALIMENTICIOS,envase alto vacio con queso tipo manchego deslactosado mrca NOCHE BUENA cont 400g
4255,PRODUCTOS ALIMENTICIOS,envase alto vacio queso tipo manchego deslactosado marca NOCHE BUENA cont 400g
