nodo,nodo_pr_score
1300,0.00024881336794715486
212,0.0002485071486534704
341,0.00024842743438746595
4692,0.0002479798030333696
4874,0.0002463798691102848
2399,0.0002452767671243088
4876,0.0002450618050571053
2090,0.00024504632445647033
148,0.0002442608635525176
1218,0.00024416716127289884
1565,0.00024402044188864879
1888,0.00024389135776853955
1236,0.0002438507864275303
2365,0.00024354717545431773
549,0.00024219124198206598
407,0.0002420554779913711
1960,0.00024181748260821632
2480,0.00024162655596941663
2786,0.00023993049963517475
842,0.00023962742427208677
1995,0.0002396151766649953
999,0.00023897874363506963
353,0.0002380338753789886
5082,0.00023701322481735554
2377,0.00023639144830704567
5123,0.00023607127316014776
6068,0.00023587957729767644
2768,0.00023578521743019442
5816,0.00023552863986629915
3800,0.00023517643288958247
3286,0.00023458802089943874
1507,0.00023449160542754366
5000,0.00023407388806644575
5197,0.000233120148759133
7617,0.00023242443555477265
4666,0.00023155025644315023
244,0.0002312124006578125
2517,0.00023024617643937372
1558,0.00023017588021277403
443,0.00023010334818676138
4749,0.00022960872651543396
91,0.0002295866984148419
1346,0.00022831337979740317
3073,0.00022776830748867175
952,0.00022652840863602222
2429,0.00022643997654866736
2114,0.00022537477813921281
5218,0.00022519054249398434
28,0.0002240463303642997
2777,0.00022297316407254023
5057,0.00022254988739979422
5446,0.00022245464810492684
4516,0.00022166398061972166
2679,0.00022128039350208568
5381,0.0002201156403340598
591,0.0002199512807063006
1619,0.0002195313917057646
4689,0.00021934812210073622
4846,0.0002190918000571993
2356,0.00021836939822184837
3453,0.00021757357878427491
1601,0.00021748355578894016
777,0.000217290812880834
219,0.00021653566199610988
77,0.00021630709468442689
62,0.00021630509588616093
1777,0.00021599840409106284
3464,0.00021525431571430676
2859,0.00021511963094540624
1606,0.00021478603958959797
694,0.00021475954580447618
2565,0.0002136213282229883
4794,0.00021254645267413213
573,0.00021214112553417193
2841,0.00021204997560090113
986,0.0002120409267496173
201,0.00021185653326699863
4392,0.00021127769336196344
1521,0.0002112406625672344
1844,0.00021111904987785237
134,0.0002105101680134815
2476,0.00020980155347523054
539,0.00020915398115671608
4701,0.00020913814237537577
32,0.00020893346362454765
4912,0.00020853749223334364
3034,0.00020850713395357455
4836,0.00020795283644468632
3372,0.00020790289410513153
5348,0.00020750251908020005
5187,0.00020712926686219796
722,0.00020655835969312877
2484,0.00020638710644377777
