clave,titulo,artista,genero,anio,agregado,bpm,energia,baile,deciBeles,vivo,val,duracion,acustica,palabra,pop,pais
764,Beautiful People (feat. Khalid),Ed S.,pop,2019,31/12/1969,93,65,64,-8,8,55,198,12,19,86,indonesia
817,Beautiful People (feat. Khalid),Ed Sheeran,pop,2019,31/12/1969,93,65,64,-8,8,55,198,12,19,86,israel
987,Beautiful People (feat. Khalid),Ed Sh.,pop,2019,31/12/1969,93,65,64,-8,8,55,198,12,19,86,malasya
322,Bebi Liguei - Ao Vivo,Marília Mendonça,sertanejo,2019,31/12/1969,154,80,60,-4,74,68,160,36,20,81,brazil
347,Bebi Minha Bicicleta (Coração Falido) - Ao Vivo,Zé Neto & Cristiano,sertanejo universitario,2019,31/12/1969,196,90,39,-4,91,47,182,45,41,68,brazil
993,Before You Go,Lewis Capaldi,pop,2019,31/12/1969,112,57,46,-5,9,18,215,60,6,82,malasya
726,"Bekhayali (From ""Kabir Singh"")",Sachet Tandon,desi pop,2019,31/12/1969,172,59,31,-5,32,35,372,45,4,68,india
712,Believer,Imagine Dragons,modern rock,2017,31/12/1969,125,78,78,-4,8,67,204,6,13,89,india
288,Bellaquita,Dalex,latin,2019,31/12/1969,166,70,58,-4,17,77,205,9,11,85,bolivia
126,Bellaquita - Remix,Dalex,latin,2019,31/12/1969,166,72,80,-4,18,76,305,14,8,87,argentina
279,Bellaq.- Remix,D.,latin,2019,31/12/1969,166,72,80,-4,18,76,305,14,8,87,bolivia
476,Bellaquita - Remix,Dalex,latin,2019,31/12/1969,166,72,80,-4,18,76,305,14,8,87,colombia
524,Bellaquita,Dlx,latin,2019,31/12/1969,166,72,80,-4,18,76,305,14,8,87,chile
574,Bellaquita,Dlx,latin,2019,31/12/1969,166,72,80,-4,18,76,305,14,8,87,spain
794,Bicara (feat. Monita Tahalea),TheOvertunes,indonesian pop,2019,31/12/1969,77,37,57,-9,8,37,236,56,3,68,indonesia
550,Blanca Navidad,Luis Miguel,bolero,2006,31/12/1969,90,40,36,-11,7,18,212,73,3,67,chile
128,Blanco,J Balvin,latin,2019,31/12/1969,100,71,87,-5,9,59,146,3,13,87,argentina
281,VLNKO,J Balvin,latin,2019,31/12/1969,100,71,87,-5,9,59,146,3,13,87,bolivia
473,vlanco,J. Balvin,latin,2019,31/12/1969,100,71,87,-5,9,59,146,3,13,87,colombia
573,Blanco,J Balvin,latin,2019,31/12/1969,100,71,87,-5,9,59,146,3,13,87,spain
11,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,31/12/1969,171,80,51,-4,9,35,202,0,6,96,world
208,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,31/12/1969,171,80,51,-4,9,35,202,0,6,96,belgium
405,Blinding Lights+++,The Weeknd,canadian contemporary r&b,2019,31/12/1969,171,80,51,-4,9,35,202,0,6,96,germany
657,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,31/12/1969,171,80,51,-4,9,35,202,0,6,96,france
705,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,31/12/1969,171,80,51,-4,9,35,202,0,6,96,india
811,Blinding Lig.,The Weeknd,canadian contemporary r&b,2019,31/12/1969,171,80,51,-4,9,35,202,0,6,96,israel
962,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,31/12/1969,171,80,51,-4,9,35,202,0,6,96,malasya
695,Block,Larry,french hip hop,2019,31/12/1969,77,74,72,-7,41,71,157,29,28,65,france
31,Blue Christmas,Elvis Presley,adult standards,1957,31/12/1969,95,27,47,-17,14,58,129,90,4,87,world
74,Blue Xmas,elvis oresley,adult standards,1957,31/12/1969,95,27,47,-17,14,58,129,90,4,87,africa
175,Blue Xmas,Elvis Presley,adult standards,1957,31/12/1969,95,27,47,-17,14,58,129,90,4,87,australia
230,Blue Xmas,Elvis Presley,adult standards,1957,31/12/1969,95,27,47,-17,14,58,129,90,4,87,belgium
372,Blue Christmas,Elvis P.,adult standards,1957,31/12/1969,95,27,47,-17,14,58,129,90,4,87,canada
625,Blue Christmas,Elvis Presley,adult standards,1957,31/12/1969,95,27,47,-17,14,58,129,90,4,87,usa
876,blun7 a swishland,tha Supreme,trap italiana,2019,31/12/1969,130,79,69,-6,26,57,168,13,25,80,italy
612,BOP,DaBaby,nc hip hop,2019,31/12/1969,127,79,77,-4,13,84,160,19,37,92,usa
885,Bossoli,Shiva,italian hip hop,2019,31/12/1969,145,66,83,-8,14,80,179,44,26,77,italy
762,Boy With Luv (feat. Halsey),BTS,k-pop,2019,31/12/1969,120,86,65,-5,19,80,230,9,10,87,indonesia
985,Boy With Luv (feat. Halsey),BTS,k-pop,2019,31/12/1969,120,86,65,-5,19,80,230,9,10,87,malasya
886,BRAVI A CADERE - I polmoni,Marracash,italian hip hop,2019,31/12/1969,95,69,61,-6,10,28,200,16,10,77,italy
140,C90 - Remix,John C,argentine hip hop,2019,31/12/1969,123,76,87,-5,7,61,316,34,9,72,argentina
109,Callaita,Bad Bunny,latin,2019,31/12/1969,176,62,61,-5,24,24,251,60,31,92,argentina
259,Callaita,Bad Bunny,,2019,31/12/1969,176,62,61,-5,24,24,251,60,31,92,bolivia
458,Callaita,Bad Bunny,,2019,31/12/1969,176,62,61,-5,24,24,251,60,31,92,colombia
510,Callaita,,latin,2019,31/12/1969,176,62,61,-5,24,24,251,60,31,92,chile
561,Callaita,,latin,2019,31/12/1969,176,62,61,-5,24,24,251,60,31,92,spain
127,Calma - Remix,Pedro Capó,latin,2018,31/12/1969,127,77,83,-4,14,76,238,32,5,87,argentina
767,Can We Kiss Forever?,Kina,pop,2018,31/12/1969,110,13,52,-19,9,12,188,89,4,84,indonesia
139,CANGURO,WOS,argentine indie,2019,31/12/1969,164,75,60,-4,67,93,197,17,33,73,argentina
492,Cariñito,Rodolfo Aicardi,classic colombian pop,2012,31/12/1969,106,57,68,-6,8,95,227,82,3,53,colombia
636,Carol of the Bells,Mykola Dmytrovych Leontovych,post-romantic era,1990,31/12/1969,47,11,42,-23,18,80,85,99,4,84,usa
348,Carreira Solo - Ao Vivo,Gusttavo Lima,sertanejo universitario,2019,31/12/1969,127,93,81,-1,87,92,216,41,4,67,brazil
779,Celengan Rindu,Fiersa Besari,indonesian indie,2014,31/12/1969,117,54,64,-8,14,66,224,11,4,76,indonesia
894,ch1 5ei te,tha Supreme,trap italiana,2019,31/12/1969,88,78,49,-6,16,32,184,5,7,76,italy
