clave,titulo,artista,genero,anio,agregado,bpm,energia,baile,deciBeles,vivo,val,duracion,acustica,palabra,pop,pais
245,Ne reviens pas,Gradur,french hip hop,2019,31/12/1969,125,78,93,-3,17,93,189,21,6,78,belgium
820,Never Go Back,Dennis Lloyd,israeli pop,2019,31/12/1969,79,65,42,-5,11,73,175,1,40,76,israel
187,Never Seen The Rain,Tones and I,australian pop,2019,31/12/1969,92,46,67,-6,28,27,201,43,4,81,australia
819,Nevermind,Dennis Lloyd,israeli pop,2017,31/12/1969,100,69,60,-8,41,8,157,16,20,81,israel
145,No Dijeron Nada,Oscu,trap argentino,2019,31/12/1969,115,71,70,-5,51,91,187,8,5,68,argentina
976,No Idea,Don Toliver,rap,2019,31/12/1969,128,61,66,-5,22,35,154,56,10,90,malasya
571,No Me Conoce - Remix,Jhay Cortez,latin,2019,31/12/1969,92,79,81,-4,9,58,309,14,7,88,spain
143,No Te Creas Tan Importante - En Vivo,Damas Gratis,cumbia villera,2018,31/12/1969,175,76,30,-5,88,67,240,20,4,70,argentina
538,No Te Debí Besar,C. Tangana,trap espanol,2019,31/12/1969,75,68,67,-6,18,62,183,13,32,82,chile
890,Non Avere Paura,Tommaso Paradiso,italian arena pop,2019,31/12/1969,105,68,57,-6,11,24,247,43,4,77,italy
297,Nunca Es Suficiente,Los Angeles Azules,grupera,2018,31/12/1969,94,50,80,-6,9,80,266,39,4,78,bolivia
439,Nur zur Info,Ufo361,german cloud rap,2019,31/12/1969,89,37,73,-12,11,23,142,17,44,75,germany
746,"O Saki Saki (From ""Batla House"")",Neha Kakkar,desi pop,2019,31/12/1969,108,96,74,0,36,57,191,16,7,60,india
646,O Tannenbaum,Vince Guaraldi Trio,adult standards,1965,31/12/1969,123,19,58,-16,13,34,309,91,4,79,usa
889,occh1 purpl3 - feat. Marracash,tha Supreme,trap italiana,2019,31/12/1969,134,81,66,-5,16,55,188,9,16,77,italy
148,Ocho Cuarenta,Rodrigo,argentine rock,1998,31/12/1969,148,70,61,-10,30,85,355,8,3,64,argentina
494,Ojitos Hechiceros,Rodolfo Aicardi,classic colombian pop,2012,31/12/1969,107,69,79,-7,14,62,220,11,4,52,colombia
147,Olvídala,Los Palmeras,argentine rock,2004,31/12/1969,132,69,77,-5,27,52,290,31,5,65,argentina
714,On My Way,Alan Walker,electro house,2019,31/12/1969,170,69,51,-5,30,30,194,2,10,84,india
785,One Only,Pamungkas,indonesian indie,2018,31/12/1969,145,52,25,-6,9,11,255,22,3,74,indonesia
570,Otro Trago - Remix,Sech,panamanian pop,2019,31/12/1969,176,79,73,-2,6,76,288,7,20,88,spain
668,Oui ou non,Angèle,belgian pop,2019,31/12/1969,200,57,65,-8,16,36,197,64,14,79,france
133,Oye,TINI,latin pop,2019,31/12/1969,95,51,68,-8,18,26,173,45,6,83,argentina
282,Pa Mí - Remix,Dalex,latin,2019,31/12/1969,170,62,69,-8,16,73,361,75,22,86,bolivia
278,Pa' Olvidarme De Ella,Piso 21,colombian pop,2019,31/12/1969,90,54,73,-5,14,64,227,26,5,87,bolivia
721,"Pachtaoge (From ""Jaani Ve"")",Arijit Singh,desi pop,2019,31/12/1969,170,69,52,-4,12,48,227,62,3,71,india
723,Pal Pal Dil Ke Paas- Title Track,Arijit Singh,desi pop,2019,31/12/1969,124,51,56,-7,6,39,255,59,3,69,india
948,Paprika,Foorin,kodomo no ongaku,2018,31/12/1969,101,77,75,-5,77,73,208,14,4,46,japan
330,"Para, Pensa e Volta - Ao Vivo",Yasmin Santos,sertanejo pop,2019,31/12/1969,112,79,61,-3,24,57,174,25,4,80,brazil
787,"Pelukku Untuk Pelikmu - OST Imperfect: Karier, Cinta, & Timbangan",Fiersa Besari,indonesian indie,2019,31/12/1969,125,83,53,-5,20,25,250,13,4,72,indonesia
792,Percaya Aku,Chintya Gabriella,NA,2019,31/12/1969,140,49,54,-8,20,30,232,74,3,71,indonesia
131,Perreo en La Luna,Rich Music LTD,reggaeton,2019,31/12/1969,174,76,71,-4,37,72,219,27,29,83,argentina
696,Petit Papa Noël,Tino Rossi,chanson,1998,31/12/1969,105,31,33,-9,6,42,196,99,3,61,france
537,Piensan,Myke Towers,latin,2019,31/12/1969,172,72,68,-4,11,79,173,54,6,82,chile
784,Pilu Membiru,Kunto Aji,indonesian indie,2018,31/12/1969,82,27,36,-11,12,5,252,89,3,75,indonesia
543,Piropo,Noriel,latin,2019,31/12/1969,94,75,87,-6,4,77,220,12,7,78,chile
880,Pookie (feat. Capo Plaza) - Remix,Aya Nakamura,basshall,2019,31/12/1969,98,62,84,-7,10,51,188,6,13,78,italy
665,Popopop,Gambi,pop urbaine,2019,31/12/1969,130,65,83,-6,14,41,156,5,31,82,france
594,Prendío,Rvfv,trap espanol,2019,31/12/1969,125,54,83,-10,13,90,190,17,9,76,spain
600,Prendio - Remix,Rvfv,trap espanol,2019,31/12/1969,125,76,75,-6,8,75,191,19,6,61,spain
935,Pretender,Official HIGE DANdism,anime rock,2019,31/12/1969,92,87,54,-3,14,37,327,5,3,56,japan
725,Proper Patola,Badshah,desi hip hop,2018,31/12/1969,172,82,77,-6,32,49,179,49,9,69,india
781,Psycho,Red Velvet,k-pop,2019,31/12/1969,140,67,66,-2,9,41,211,19,4,75,indonesia
345,quando a bad bater - ao vivo,Luan Santana,funk carioca,2019,31/12/1969,128,79,65,-5,53,53,180,30,4,71,brazil
